algorithm,metric,min,max
ada,accuracy,0.8666666666666667,1.0
bag,accuracy,0.9,1.0
dt,accuracy,0.9166666666666666,1.0
et,accuracy,0.8833333333333333,1.0
gb,accuracy,0.9,1.0
knn,accuracy,0.85,0.9833333333333332
lgbm,accuracy,0.85,1.0
linearSVC,accuracy,0.8,0.9833333333333332
logit,accuracy,0.85,0.9833333333333332
logreg,accuracy,0.85,0.9833333333333332
mlp,accuracy,0.8666666666666667,0.9833333333333332
nb,accuracy,0.7555555555555555,0.93
rf,accuracy,0.8666666666666667,0.9944444444444444
svm,accuracy,0.85,0.9833333333333332
svm_prob,accuracy,0.85,0.9833333333333332
tree,accuracy,0.9,1.0
xgb,accuracy,0.9,1.0
ada,execution_time,0.0464422702789306,0.2756826877593994
bag,execution_time,0.0131399631500244,0.0845208168029785
dt,execution_time,0.0010087490081787,0.0085659027099609
et,execution_time,0.0704669952392578,0.1756491661071777
gb,execution_time,0.0611360073089599,0.3850250244140625
knn,execution_time,0.0021610260009765,0.0385980606079101
lgbm,execution_time,0.1717751026153564,0.5362088680267334
linearSVC,execution_time,0.0053920745849609,0.1784698963165283
logit,execution_time,0.0030751228332519,0.0245552062988281
logreg,execution_time,0.0029809474945068,0.0175240039825439
mlp,execution_time,0.7122700214385986,25.75903296470642
nb,execution_time,0.0006752014160156,0.005173921585083
rf,execution_time,0.0874991416931152,0.2069888114929199
svm,execution_time,0.0020608901977539,0.1566319465637207
svm_prob,execution_time,0.0065920352935791,0.4991810321807861
tree,execution_time,0.0008771419525146,0.0086269378662109
xgb,execution_time,0.0670552253723144,0.2477400302886963
ada,memory_usage,552435712.0,729759744.0
bag,memory_usage,587743232.0,714620928.0
dt,memory_usage,580698112.0,696287232.0
et,memory_usage,587939840.0,734969856.0
gb,memory_usage,450641920.0,799539200.0
knn,memory_usage,514097152.0,822853632.0
lgbm,memory_usage,432766976.0,689799168.0
linearSVC,memory_usage,585547776.0,738590720.0
logit,memory_usage,581435392.0,848297984.0
logreg,memory_usage,641679360.0,760872960.0
mlp,memory_usage,28917760.0,681672704.0
nb,memory_usage,555057152.0,697090048.0
rf,memory_usage,455720960.0,658391040.0
svm,memory_usage,504791040.0,757497856.0
svm_prob,memory_usage,579387392.0,807682048.0
tree,memory_usage,602570752.0,743489536.0
xgb,memory_usage,532529152.0,695336960.0
ada,f1_score,0.8461538461538461,1.0
bag,f1_score,0.888888888888889,1.0
dt,f1_score,0.9019607843137256,1.0
et,f1_score,0.8727272727272728,1.0
gb,f1_score,0.888888888888889,1.0
knn,f1_score,0.816326530612245,0.9803921568627452
lgbm,f1_score,0.8363636363636363,1.0
linearSVC,f1_score,0.7391304347826089,0.9803921568627452
logit,f1_score,0.7999999999999999,0.9803921568627452
logreg,f1_score,0.7999999999999999,0.9803921568627452
mlp,f1_score,0.8333333333333333,0.981132075471698
nb,f1_score,0.7843137254901961,0.9357798165137614
rf,f1_score,0.8461538461538461,0.9942857142857142
svm,f1_score,0.816326530612245,0.9803921568627452
svm_prob,f1_score,0.816326530612245,0.9803921568627452
tree,f1_score,0.88,1.0
xgb,f1_score,0.88,1.0
