Duration,Service,Source bytes,Destination bytes,Count,Same_srv_rate,Serror_rate,Srv_serror_rate,Dst_host_count,Dst_host_srv_count,Dst_host_same_src_port_rate,Dst_host_serror_rate,Dst_host_srv_serror_rate,Flag,IDS_detection,Malware_detection,Ashula_detection,Label,Source_IP_Address,Source_Port_Number,Destination_IP_Address,Destination_Port_Number,Start_Time,Protocol
1.176959,ssh,520,1564,2,1.00,0.00,0.00,100,100,0.00,0.00,0.00,SF,0,0,0,1,fd54:2a81:0ff9:b303:2170:1886:4c45:3261,35693,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,22,14:45:44,tcp
24.398627,other,518,0,0,0.00,0.00,1.00,30,30,1.00,0.00,0.00,OTH,402-1-11(2),0,0,1,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,3,fd54:2a81:0ff9:30d3:3fba:0573:03d7:0097,3,11:08:26,icmp
1.010406,ssh,520,1564,2,1.00,0.00,0.00,13,13,0.00,0.00,0.00,SF,0,0,0,1,fd54:2a81:0ff9:b303:2170:1886:4c45:3261,57100,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,22,14:24:14,tcp
2.791094,ssh,520,1564,0,0.00,0.00,0.00,98,98,0.00,0.00,0.00,SF,19559-1-5(1),0,0,1,fd54:2a81:0ff9:8600:2bac:334b:1188:75ff,49197,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,22,00:54:16,tcp
24.395762,other,259,0,0,0.00,0.00,0.86,25,25,1.00,0.00,0.00,OTH,402-1-11(2),0,0,1,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,3,fd54:2a81:0ff9:4be7:7d2f:278e:7d0b:3cb3,3,10:41:45,icmp
24.420662,other,518,0,0,0.00,0.00,0.75,28,28,1.00,0.00,0.00,OTH,402-1-11(2),0,0,1,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,3,fd54:2a81:0ff9:30d3:3fba:0573:03d7:0097,3,17:41:01,icmp
2.777448,ssh,520,1564,1,1.00,0.00,0.00,98,98,0.00,0.00,0.00,SF,1325-1-10(1),0,0,1,fd54:2a81:0ff9:8600:2bac:334b:1188:75ff,47366,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,22,00:53:01,tcp
1.194931,ssh,520,1564,1,1.00,0.00,0.00,12,12,0.00,0.00,0.00,SF,0,0,0,1,fd54:2a81:0ff9:b303:2170:1886:4c45:3261,45926,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,22,14:25:06,tcp
24.400652,other,777,0,0,0.00,0.00,0.57,4,4,1.00,0.00,0.00,OTH,402-1-11(3),0,0,1,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,3,fd54:2a81:0ff9:30d3:3fba:0573:03d7:0097,3,22:32:12,icmp
1.116421,ssh,520,1564,2,1.00,0.00,0.00,14,14,0.00,0.00,0.00,SF,0,0,0,1,fd54:2a81:0ff9:b303:2170:1886:4c45:3261,44634,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,22,14:34:50,tcp
24.420033,other,777,0,0,0.00,0.00,1.00,35,37,1.00,0.00,0.00,OTH,402-1-11(4),0,0,1,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,3,fd54:2a81:0ff9:4be7:7d2f:278e:7d0b:3cb3,3,12:16:08,icmp
0.000000,other,0,0,0,0.00,0.00,0.75,0,0,0.00,0.00,0.00,S0,0,0,0,1,fd54:2a81:0ff9:8211:0097:456d:05ef:2f3a,6000,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,5900,04:43:08,tcp
212.851616,other,1554,0,0,0.00,0.00,0.00,35,35,1.00,0.00,0.00,OTH,402-1-11(4),0,0,1,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,3,fd54:2a81:0ff9:30d3:3fba:0573:03d7:0097,3,11:54:15,icmp
24.411715,other,259,0,0,0.00,0.00,0.71,15,15,1.00,0.00,0.00,OTH,402-1-11(2),0,0,1,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,3,fd54:2a81:0ff9:4be7:7d2f:278e:7d0b:3cb3,3,09:49:29,icmp
2.835782,ssh,536,1564,0,0.00,0.00,0.00,98,98,0.00,0.00,0.00,SF,0,0,0,1,fd54:2a81:0ff9:8600:2bac:334b:1188:75ff,51480,fd54:2a81:0ff9:cc62:7d1a:27a1:0740:0f0a,22,00:55:50,tcp
