"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.56.105","152.195.38.76","TCP","60","45568  >  80 [ACK] Seq=1 Ack=1 Win=63503 Len=0"
"2","0.001219301","152.195.38.76","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 80  >  45568 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"3","1.154724553","192.168.56.104","34.107.221.82","TCP","54","48958  >  80 [ACK] Seq=1 Ack=1 Win=64024 Len=0"
"4","1.161539322","34.107.221.82","192.168.56.104","TCP","60","[TCP ACKed unseen segment] 80  >  48958 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"5","1.533744232","192.168.56.105","192.229.237.25","TCP","60","42680  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"6","1.535623104","192.229.237.25","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 443  >  42680 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"7","2.178435467","192.168.56.104","23.48.149.185","TCP","54","53818  >  80 [ACK] Seq=1 Ack=1 Win=64008 Len=0"
"8","2.178554154","192.168.56.104","23.48.149.185","TCP","54","53828  >  80 [ACK] Seq=1 Ack=1 Win=64008 Len=0"
"9","2.178701193","192.168.56.104","23.48.149.185","TCP","54","53840  >  80 [ACK] Seq=1 Ack=1 Win=64008 Len=0"
"10","2.178773870","192.168.56.104","23.48.149.185","TCP","54","53804  >  80 [ACK] Seq=1 Ack=1 Win=64008 Len=0"
"11","2.178888230","192.168.56.104","23.48.149.185","TCP","54","53812  >  80 [ACK] Seq=1 Ack=1 Win=64008 Len=0"
"12","2.180935319","23.48.149.185","192.168.56.104","TCP","60","[TCP ACKed unseen segment] 80  >  53818 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"13","2.180936024","23.48.149.185","192.168.56.104","TCP","60","[TCP ACKed unseen segment] 80  >  53828 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"14","2.180936140","23.48.149.185","192.168.56.104","TCP","60","[TCP ACKed unseen segment] 80  >  53840 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
