accuracy,execution_time,memory_usage,precision,recall,f1_score,algorithm,dataset
0.9225,0.011379003524780273,435208192,0.8888888888888888,0.964824120603015,0.925301204819277,knn,dataset_1_gb_sampled.csv
0.9075,0.010128259658813477,474824704,0.921875,0.8894472361809045,0.9053708439897697,knn,dataset_2_gb_sampled.csv
0.9025,0.009680032730102539,562315264,0.9301075268817204,0.8693467336683417,0.8987012987012987,knn,dataset_3_gb_sampled.csv
0.925,0.008913040161132812,569262080,0.9518716577540107,0.8944723618090452,0.922279792746114,knn,dataset_4_gb_sampled.csv
0.9625,0.008694887161254883,587104256,0.9646464646464646,0.9597989949748744,0.9622166246851386,knn,dataset_5_gb_sampled.csv
0.9675,0.14792609214782715,617578496,0.979381443298969,0.9547738693467337,0.9669211195928753,rf,dataset_1_gb_sampled.csv
0.9425,0.14745759963989258,611860480,0.9536082474226805,0.9296482412060302,0.9414758269720102,rf,dataset_2_gb_sampled.csv
0.94,0.1476747989654541,610172928,0.9533678756476683,0.9246231155778895,0.9387755102040817,rf,dataset_3_gb_sampled.csv
0.95,0.14754295349121094,620609536,0.9735449735449735,0.9246231155778895,0.9484536082474226,rf,dataset_4_gb_sampled.csv
0.9825,0.14156699180603027,632111104,0.9948453608247423,0.9698492462311558,0.9821882951653944,rf,dataset_5_gb_sampled.csv
0.9025,0.04001784324645996,647725056,0.9123711340206185,0.8894472361809045,0.9007633587786259,svm,dataset_1_gb_sampled.csv
0.8825,0.041120052337646484,614072320,0.9578313253012049,0.7989949748743719,0.8712328767123289,svm,dataset_2_gb_sampled.csv
0.8925,0.03525829315185547,582434816,0.9382022471910112,0.8391959798994975,0.8859416445623342,svm,dataset_3_gb_sampled.csv
0.9125,0.037088871002197266,548651008,0.9939759036144579,0.8291457286432161,0.904109589041096,svm,dataset_4_gb_sampled.csv
0.9375,0.030731201171875,578928640,0.9438775510204082,0.9296482412060302,0.9367088607594937,svm,dataset_5_gb_sampled.csv
0.905,0.01296687126159668,564625408,0.9128205128205128,0.8944723618090452,0.9035532994923858,logreg,dataset_1_gb_sampled.csv
0.875,0.010413169860839844,555581440,0.9116022099447514,0.8291457286432161,0.8684210526315789,logreg,dataset_2_gb_sampled.csv
0.8875,0.009413957595825195,572211200,0.9230769230769231,0.8442211055276382,0.8818897637795277,logreg,dataset_3_gb_sampled.csv
0.8975,0.008417129516601562,572932096,0.9488636363636364,0.8391959798994975,0.8906666666666666,logreg,dataset_4_gb_sampled.csv
0.9175,0.009283781051635742,585973760,0.9029126213592233,0.9346733668341709,0.9185185185185186,logreg,dataset_5_gb_sampled.csv
0.9625,0.004068851470947266,511229952,0.9742268041237113,0.949748743718593,0.9618320610687022,dt,dataset_1_gb_sampled.csv
0.9225,0.002557992935180664,486686720,0.9421052631578948,0.8994974874371859,0.9203084832904884,dt,dataset_2_gb_sampled.csv
0.93,0.0035729408264160156,545636352,0.9384615384615385,0.9195979899497487,0.9289340101522843,dt,dataset_3_gb_sampled.csv
0.95,0.0031909942626953125,504446976,0.958974358974359,0.9396984924623115,0.9492385786802031,dt,dataset_4_gb_sampled.csv
0.9775,0.0024449825286865234,514359296,0.9846938775510204,0.9698492462311558,0.9772151898734177,dt,dataset_5_gb_sampled.csv
0.9725,0.20806026458740234,399884288,0.97,0.9748743718592965,0.9724310776942355,gb,dataset_1_gb_sampled.csv
0.9525,0.17597103118896484,407568384,0.9591836734693877,0.9447236180904522,0.9518987341772152,gb,dataset_2_gb_sampled.csv
0.9225,0.18320417404174805,431603712,0.9468085106382979,0.8944723618090452,0.9198966408268734,gb,dataset_3_gb_sampled.csv
0.9475,0.18706393241882324,454492160,0.9836956521739131,0.9095477386934674,0.9451697127937337,gb,dataset_4_gb_sampled.csv
0.9775,0.18533110618591309,457310208,0.9947916666666666,0.9597989949748744,0.9769820971867007,gb,dataset_5_gb_sampled.csv
0.965,0.16573500633239746,471285760,0.9695431472081218,0.9597989949748744,0.9646464646464646,xgb,dataset_1_gb_sampled.csv
0.9425,0.1873340606689453,458801152,0.9444444444444444,0.9396984924623115,0.9420654911838791,xgb,dataset_2_gb_sampled.csv
0.94,0.1587228775024414,424968192,0.9487179487179487,0.9296482412060302,0.9390862944162437,xgb,dataset_3_gb_sampled.csv
0.9575,0.15731096267700195,473153536,0.9739583333333334,0.9396984924623115,0.9565217391304348,xgb,dataset_4_gb_sampled.csv
0.9775,0.1522660255432129,442105856,0.9846938775510204,0.9698492462311558,0.9772151898734177,xgb,dataset_5_gb_sampled.csv
0.97,0.4971342086791992,453705728,0.9794871794871794,0.9597989949748744,0.9695431472081218,lgbm,dataset_1_gb_sampled.csv
0.9475,0.5187010765075684,483835904,0.9494949494949495,0.9447236180904522,0.947103274559194,lgbm,dataset_2_gb_sampled.csv
0.9325,0.484846830368042,472219648,0.9479166666666666,0.914572864321608,0.9309462915601021,lgbm,dataset_3_gb_sampled.csv
0.9575,0.4945108890533447,414711808,0.9840425531914894,0.9296482412060302,0.9560723514211886,lgbm,dataset_4_gb_sampled.csv
0.9775,0.48532986640930176,466894848,0.9846938775510204,0.9698492462311558,0.9772151898734177,lgbm,dataset_5_gb_sampled.csv
0.8675,0.0015192031860351562,478887936,0.8762886597938144,0.8542713567839196,0.8651399491094148,nb,dataset_1_gb_sampled.csv
