"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","PcsCompu_ba:b4:39","PcsCompu_51:eb:8f","ARP","60","Who has 192.168.56.105? Tell 192.168.56.100"
"2","0.000000703","PcsCompu_51:eb:8f","PcsCompu_ba:b4:39","ARP","60","192.168.56.105 is at 08:00:27:51:eb:8f"
"3","0.156894112","192.168.56.105","34.120.115.102","TLSv1.2","93","Application Data"
"4","0.157841812","192.168.56.105","34.117.237.239","TLSv1.2","93","Application Data"
"5","0.157842056","34.120.115.102","192.168.56.105","TCP","60","443  >  58312 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"6","0.159771288","34.117.237.239","192.168.56.105","TCP","60","443  >  50880 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"7","0.165545254","34.120.115.102","192.168.56.105","TLSv1.2","93","Application Data"
"8","0.165995867","192.168.56.105","34.120.115.102","TCP","60","58312  >  443 [ACK] Seq=40 Ack=40 Win=62780 Len=0"
"9","0.169185541","34.117.237.239","192.168.56.105","TLSv1.2","93","Application Data"
"10","0.169677618","192.168.56.105","34.117.237.239","TCP","60","50880  >  443 [ACK] Seq=40 Ack=40 Win=62780 Len=0"
"11","6.185855523","192.168.56.105","34.120.115.102","TLSv1.2","93","Application Data"
"12","6.186805344","192.168.56.105","34.117.237.239","TLSv1.2","93","Application Data"
"13","6.189470648","34.120.115.102","192.168.56.105","TCP","60","443  >  58312 [ACK] Seq=40 Ack=79 Win=65535 Len=0"
"14","6.191889871","34.117.237.239","192.168.56.105","TCP","60","443  >  50880 [ACK] Seq=40 Ack=79 Win=65535 Len=0"
"15","6.193311437","192.168.56.105","34.107.221.82","TCP","60","53744  >  80 [ACK] Seq=1 Ack=1 Win=64024 Len=0"
"16","6.194503123","34.107.221.82","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 80  >  53744 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"17","6.197093067","34.120.115.102","192.168.56.105","TLSv1.2","93","Application Data"
"18","6.197093517","192.168.56.105","34.120.115.102","TCP","60","58312  >  443 [ACK] Seq=79 Ack=79 Win=62780 Len=0"
"19","6.200154483","34.117.237.239","192.168.56.105","TLSv1.2","93","Application Data"
"20","6.200590207","192.168.56.105","34.117.237.239","TCP","60","50880  >  443 [ACK] Seq=79 Ack=79 Win=62780 Len=0"
"21","12.204127696","192.168.56.105","34.120.115.102","TLSv1.2","93","Application Data"
"22","12.207923352","192.168.56.105","34.117.237.239","TLSv1.2","93","Application Data"
"23","12.207923793","34.120.115.102","192.168.56.105","TCP","60","443  >  58312 [ACK] Seq=79 Ack=118 Win=65535 Len=0"
"24","12.207923834","34.117.237.239","192.168.56.105","TCP","60","443  >  50880 [ACK] Seq=79 Ack=118 Win=65535 Len=0"
"25","12.215219186","34.117.237.239","192.168.56.105","TLSv1.2","93","Application Data"
"26","12.217338670","192.168.56.105","34.117.237.239","TCP","60","50880  >  443 [ACK] Seq=118 Ack=118 Win=62780 Len=0"
"27","12.217339050","34.120.115.102","192.168.56.105","TLSv1.2","93","Application Data"
"28","12.223894221","192.168.56.105","34.120.115.102","TCP","60","58312  >  443 [ACK] Seq=118 Ack=118 Win=62780 Len=0"
"29","13.401231993","192.168.56.105","8.8.8.8","DNS","75","Standard query 0xb392 A www.youtube.com"
"30","13.401618097","192.168.56.105","8.8.8.8","DNS","75","Standard query 0xbc9f AAAA www.youtube.com"
"31","13.415576091","8.8.8.8","192.168.56.105","DNS","365","Standard query response 0xb392 A www.youtube.com CNAME youtube-ui.l.google.com A 142.250.207.14 A 172.217.174.110 A 172.217.175.14 A 172.217.175.46 A 142.250.207.46 A 142.250.196.110 A 142.250.196.142 A 172.217.175.78 A 142.250.199.110 A 142.251.222.14 A 142.251.42.142 A 142.251.42.174 A 142.251.42.206 A 142.251.222.46 A 172.217.26.238 A 172.217.161.78"
"32","13.416917323","8.8.8.8","192.168.56.105","DNS","221","Standard query response 0xbc9f AAAA www.youtube.com CNAME youtube-ui.l.google.com AAAA 2404:6800:4004:820::200e AAAA 2404:6800:4004:810::200e AAAA 2404:6800:4004:81c::200e AAAA 2404:6800:4004:81d::200e"
"33","13.421243712","192.168.56.105","142.250.207.14","QUIC","1399","0-RTT, DCID=f3f5dda068989850da, SCID=61dfbc"
"34","13.425844436","192.168.56.105","142.250.207.14","QUIC","429","0-RTT, DCID=f3f5dda068989850da, SCID=61dfbc"
"35","13.461769524","142.250.207.14","192.168.56.105","QUIC","1399","Initial, DCID=61dfbc, SCID=f3f5dda068989850, PKN: 1, ACK, PADDING"
"36","13.470624246","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"37","13.471068554","142.250.207.14","192.168.56.105","QUIC","657","Protected Payload (KP0), DCID=61dfbc"
"38","13.472679061","142.250.207.14","192.168.56.105","QUIC","69","Protected Payload (KP0), DCID=61dfbc"
"39","13.481465240","192.168.56.105","142.250.207.14","QUIC","199","Protected Payload (KP0), DCID=f3f5dda068989850"
"40","13.493105338","142.250.207.14","192.168.56.105","QUIC","165","Protected Payload (KP0), DCID=61dfbc"
"41","13.493895812","142.250.207.14","192.168.56.105","QUIC","67","Protected Payload (KP0), DCID=61dfbc"
"42","13.495982528","192.168.56.105","142.250.207.14","QUIC","73","Protected Payload (KP0), DCID=f3f5dda068989850"
"43","13.539857987","142.250.207.14","192.168.56.105","QUIC","1395","Protected Payload (KP0), DCID=61dfbc"
"44","13.542232562","192.168.56.105","142.250.207.14","QUIC","73","Protected Payload (KP0), DCID=f3f5dda068989850"
"45","13.543186946","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"46","13.543187308","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
"47","13.543187348","142.250.207.14","192.168.56.105","QUIC","74","Protected Payload (KP0), DCID=61dfbc"
"48","13.545625893","192.168.56.105","142.250.207.14","QUIC","73","Protected Payload (KP0), DCID=f3f5dda068989850"
"49","13.569473339","142.250.207.14","192.168.56.105","QUIC","1394","Protected Payload (KP0), DCID=61dfbc"
"50","13.569474435","142.250.207.14","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=61dfbc"
